APPL_DATE,STD_RATE
2016-01-01,1178
2016-01-02,1178
2016-01-03,1178
2016-01-04,1184
2016-01-05,1185
2016-01-06,1191
2016-01-07,1200
2016-01-08,1197
2016-01-09,1197
2016-01-10,1197
2016-01-11,1207
2016-01-12,1209
2016-01-13,1206
2016-01-14,1213
2016-01-15,1212
2016-01-16,1212
2016-01-17,1212
2016-01-18,1210
2016-01-19,1206
2016-01-20,1211
2016-01-21,1213
2016-01-22,1200
2016-01-23,1200
2016-01-24,1200
2016-01-25,1194
2016-01-26,1203
2016-01-27,1202
2016-01-28,1208
2016-01-29,1199
2016-01-30,1199
2016-01-31,1199
2016-02-01,1202
2016-02-02,1207
2016-02-03,1220
2016-02-04,1201
2016-02-05,1197
2016-02-06,1197
2016-02-07,1197
2016-02-08,1197
2016-02-09,1197
2016-02-10,1197
2016-02-11,1202
2016-02-12,1208
2016-02-13,1208
2016-02-14,1208
2016-02-15,1211
2016-02-16,1219
2016-02-17,1227
2016-02-18,1228
2016-02-19,1234
2016-02-20,1234
2016-02-21,1234
2016-02-22,1233
2016-02-23,1232
2016-02-24,1236
2016-02-25,1237
2016-02-26,1236
2016-02-27,1236
2016-02-28,1236
2016-02-29,1239
2016-03-01,1239
2016-03-02,1230
2016-03-03,1218
2016-03-04,1206
2016-03-05,1206
2016-03-06,1206
2016-03-07,1202
2016-03-08,1205
2016-03-09,1214
2016-03-10,1206
2016-03-11,1194
2016-03-12,1194
2016-03-13,1194
2016-03-14,1184
2016-03-15,1186
2016-03-16,1191
2016-03-17,1176
2016-03-18,1160
2016-03-19,1160
2016-03-20,1160
2016-03-21,1164
2016-03-22,1157
2016-03-23,1161
2016-03-24,1165
2016-03-25,1169
2016-03-26,1169
2016-03-27,1169
2016-03-28,1169
2016-03-29,1162
2016-03-30,1153
2016-03-31,1144
